MB881842,"TAYLOR COUNTY TAPHOUSE                            ","4002 CATCLAW DR                            ","ABILENE             ","TX","79606 "," 221"," 2017/07 ","      3865.16",     
MB438322,"TEXAS ROADHOUSE                                   ","1381 S DANVILLE DR                         ","ABILENE             ","TX","79605 "," 221"," 2017/07 ","      2697.76",     
MB882685,"THE STATION                                       ","4201 N 1ST ST STE R                        ","ABILENE             ","TX","79603 "," 221"," 2017/07 ","      1162.65",     
MB858286,"THE UGLY LIME TEQUILA BAR                         ","4109 S DANVILLE DR                         ","ABILENE             ","TX","79605 "," 221"," 2017/07 ","      2379.51",     
MB961669,"THE ZONE GRILL & BAR                              ","4638 S 14TH ST                             ","ABILENE             ","TX","79605 "," 221"," 2017/07 ","      2342.12",     
RM842809,"TOKYO ASIA FUSION                                 ","1441 S DANVILLE DR                         ","ABILENE             ","TX","79605 "," 221"," 2017/07 ","       115.51",     
MB463859,"TRAVEL INN                                        ","2202 W OVERLAND TRL                        ","ABILENE             ","TX","79603 "," 221"," 2017/07 ","         0.00",     
MB242534,"UPSTAIRS CLUB                                     ","141 1/2 OAK ST                             ","ABILENE             ","TX","79602 "," 221"," 2017/07 ","         0.00",     
MB612191,"WAREHOUSE DEPOT COMPANY                           ","357 WALNUT ST                              ","ABILENE             ","TX","79601 "," 221"," 2017/07 ","       194.30",     
MB832269,"WESTERN EDGE                                      ","1841 S TREADAWAY BLVD                      ","ABILENE             ","TX","79602 "," 221"," 2017/07 ","      1998.21",     
MB962044,"XGOLF                                             ","2565 S DANVILLE DR                         ","ABILENE             ","TX","79605 "," 221"," 2017/07 ","       875.76",     
MB607243,"304 LICENSING                                     ","4250 RIDGEMONT DR                          ","ABILENE             ","TX","79606 "," 221"," 2017/07 ","      1810.47",     
RM869939,"DON MELQUIAS MEXICAN RESTAURANT                   ","5675 N GATE RD                             ","ACTON               ","TX","76049 "," 111"," 2017/07 ","       378.48",     
N 798935,"THE BACK PORCH SPORTS GRILL                       ","3132 FALL CREEK HWY                        ","ACTON               ","TX","76049 "," 111"," 2017/07 ","      1035.02",     
MB562904,"ADDISON BLUE GOOSE                                ","14920 MIDWAY RD                            ","ADDISON             ","TX","75001 "," 057"," 2017/07 ","      2993.43",     
